NA,seedMass,LDMC,SLA,LNC,LCC,LPC,SDMC,circularity,vegetativeHeight,leafLength,leafThickness,leafWidth,petioleLength,Lifeform,photosyntheticPathway,adventitious,primary,bulbs,corms,fibrous,rhizomes,stolons,tubers,habitClean,nFixer,lifeCycleCoded,floweringStartcoded,wis_IL,genome_Use
Pycnanthemum_virginianum,0.11,392.5,128.7,1.28,44.34,NA,453.7,0.28,71.43,3.28,0.27,0.46,NA,hemicryptophytes,C3,1,1,0,0,0,1,0,0,F,0,3,7,FACW,5.3
Ratibida_pinnata,0.5335,327.7,115.9,1.69,39.89,0.19,426.7,0.06,107.08,10.94,0.44,8.09,43.44,hemicryptophytes,C3,1,0,0,0,0,1,0,0,F,0,3,6,UPL,5.5
Rosa_blanda,10,NA,NA,1.75,NA,0.28,NA,NA,NA,NA,NA,NA,NA,NA,C3,0,1,0,0,0,0,0,0,SS,0,3,5,FACU,NA
Rosa_carolina,19.3273,NA,NA,NA,NA,NA,NA,NA,117.47,NA,NA,NA,NA,NA,C3,0,1,0,0,0,0,0,0,SS,0,3,5,FACU,NA
Rosa_setigera,9.081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C3,0,1,0,0,0,0,0,0,SS,0,3,6,FACU,NA
Rudbeckia_fulgida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C3,1,0,0,0,0,0,1,0,F,0,3,7,OBL,NA
Rudbeckia_hirta,0.1937,232.5,196.9,1.61,37.55,NA,329.4,0.42,53.85,5.68,0.41,1.39,7.08,hemicryptophytes,C3,1,0,0,0,0,1,0,0,F,0,2,6,FACU,7.1
Rudbeckia_subtomentosa,0.3793,328.4,113.4,1.68,43.27,NA,377.7,0.2,104.76,8.83,0.4,5.79,18.58,geophytes,C3,1,0,0,0,0,1,0,0,F,0,3,7,FACU,14
Rudbeckia_triloba,0.77,242.8,NA,NA,NA,NA,393,NA,103.44,NA,0.29,NA,73.77,NA,C3,1,0,0,0,0,1,0,0,F,0,3,8,FACU,17.3
Ruellia_humilis,NA,284.2,NA,NA,NA,NA,292.4,NA,53.19,NA,0.34,NA,2.02,NA,C3,0,0,0,0,0,0,0,0,F,0,3,5,FACU,2.1
Schizachyrium_scoparium,0.578,548.9,112.7,1.39,44.18,NA,52.6,0.04,59.18,21.33,0.27,0.34,NA,hemicryptophytes,C4,1,0,0,0,0,1,0,0,G,0,3,8,FACU,4.4
Senna_hebecarpa,NA,437.7,NA,NA,NA,NA,484.1,NA,108.05,NA,0.13,NA,47.04,NA,C3,0,1,0,0,0,0,0,0,F,1,3,7,FACW,NA
Senna_marilandica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C3,0,1,0,0,0,0,0,0,F,1,3,7,FACW,NA
Silene_stellata,0.63,277.1,NA,NA,NA,NA,405,NA,59.66,NA,0.23,NA,NA,NA,C3,0,1,0,0,0,0,0,0,F,0,3,6,UPL,NA
Silphium_integrifolium,8.4755,37.8,92.2,1.47,44.46,NA,362.6,0.54,151.17,9.19,0.55,4.21,NA,hemicryptophytes,C3,1,0,0,0,0,1,0,0,F,0,3,7,FACU,16.9
Silphium_laciniatum,24.6119,295.3,67.6,1.74,41.2,0.21,26.7,0.04,125.8,25.36,0.62,17.68,61.88,hemicryptophytes,C3,0,1,0,0,0,0,0,0,F,0,3,6,FACU,16.7
Silphium_terebinthinaceum,9.4675,277.4,83.4,1.61,41.94,NA,278.2,0.32,94.24,36.17,0.58,27.06,447.63,hemicryptophytes,C3,0,1,0,0,0,0,0,0,F,0,3,7,FAC,15.1
Sisyrinchium_angustifolium,0.5997,NA,NA,NA,NA,NA,NA,NA,60.96,NA,NA,NA,NA,NA,C3,1,0,0,0,1,0,0,0,F,0,3,5,FAC,NA
Solidago_juncea,0.2318,377.3,NA,NA,NA,NA,500.6,NA,76.31,NA,0.23,NA,13.95,NA,C3,1,0,0,0,1,0,0,0,F,0,3,7,UPL,NA
Solidago_nemoralis,0.1186,385.4,94.2,1.28,44.29,0.12,467.3,0.22,46.39,6.43,0.39,0.84,NA,hemicryptophytes,C3,1,0,0,0,1,0,0,0,F,0,3,8,UPL,3.5
Solidago_rigida,0.399,382.6,91.2,1.19,44.33,0.12,461.2,0.61,80.33,4.78,0.46,1.92,1.21,hemicryptophytes,C3,1,0,0,0,1,0,0,0,F,0,3,7,FACU,2.8
Solidago_speciosa,0.1929,36.9,86.1,1.19,46.06,NA,454.2,0.36,73.92,5.09,0.33,1,NA,hemicryptophytes,C3,1,0,0,0,1,0,0,0,F,0,3,8,UPL,4.4
Sorghastrum_nutans,0.6843,459.6,11.3,1.27,41.72,0.13,453.4,0.08,145.09,31.32,0.28,0.95,NA,geophytes,C4,1,0,0,0,0,1,0,0,G,0,3,8,FACU,5.6
Spiraea_alba,0.8812,528.3,142,1.85,NA,0.12,563.1,0.35,81.68,5.76,0.17,1.46,4.69,chamaephytes,C3,0,1,0,0,0,0,0,0,SS,0,3,6,FACW,NA
Sporobolus_heterolepis,1.4663,500.9,NA,NA,NA,NA,429.1,NA,55.95,NA,0.13,NA,NA,NA,C4,1,0,0,0,0,0,0,0,G,0,3,8,FACU,2.1
Symphyotrichum_ericoides,0.74,35.6,125.9,1.83,42.48,NA,517.7,0.35,55.2,1.41,0.37,0.2,NA,hemicryptophytes,C3,1,0,0,0,0,1,0,0,F,0,3,8,FACU,2.3
Symphyotrichum_laeve,0.2853,31.4,148.1,1.63,42.84,0.24,46.1,0.37,80.84,7.58,0.3,1.77,NA,hemicryptophytes,C3,1,0,0,0,0,1,0,0,F,0,3,8,FACU,4.6
Symphyotrichum_novae-angliae,0.1614,294.2,198.4,1.5,41.61,NA,496.4,0.37,108.65,5.44,0.3,1.1,NA,hemicryptophytes,C3,1,0,0,0,1,1,0,0,F,0,3,8,FACW,2.8
Symphyotrichum_oblongifolium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C3,1,0,0,0,1,1,0,0,F,0,3,8,UPL,7
Symphyotrichum_oolentangiense,0.23,286.6,118.6,2.21,43.67,NA,459.4,0.26,68.37,8.14,0.44,1.09,14.08,hemicryptophytes,C3,1,0,0,0,1,1,0,0,F,0,3,8,UPL,3.3
Symphyotrichum_sericeum,0.1782,387.1,104.6,1.86,43.18,0.32,574.2,0.53,43.52,2.09,0.36,0.6,NA,hemicryptophytes,C3,1,0,0,0,1,0,0,0,F,0,3,8,UPL,2.6
Teucrium_canadense,1.9052,291,320,2.27,46.86,NA,318,0.4,61.58,8.84,0.23,3.57,7.2,chamaephytes,C3,1,1,0,0,0,1,0,0,F,0,3,6,FACW,1.6
Thalictrum_dasycarpum,1.9744,263,45,4.58,46.28,0.22,181,0.67,98.75,18.4,0.16,18.45,4.75,hemicryptophytes,C3,1,0,0,0,0,1,0,0,F,0,3,6,FACW,7.5
Tradescantia_ohiensis,2.626,139.2,153.6,2.84,41.44,0.19,75.3,0.09,68.18,27.99,0.51,1.71,NA,hemicryptophytes,C3,1,0,0,0,1,0,0,0,F,0,3,4,FACU,75.5
Verbena_stricta,0.7315,412.9,11.5,1.41,43.15,0.27,355.6,0.37,55.29,5.85,0.44,3.26,1.77,hemicryptophytes,C3,0,1,0,0,0,0,0,0,F,0,2,7,UPL,1
Vernonia_altissima,0.8324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C3,1,0,0,0,1,1,0,0,F,0,3,7,FAC,NA
Vernonia_fasciculata,1.4102,302.6,NA,NA,NA,NA,377.3,NA,129.7,NA,0.2,NA,2.45,NA,C3,0,0,0,0,0,0,0,0,F,0,3,7,FACW,NA
Vernonia_missurica,1.025,NA,NA,NA,NA,NA,NA,NA,182.88,NA,NA,NA,NA,NA,C3,0,0,0,0,0,0,0,0,F,0,3,7,FAC,NA
Veronicastrum_virginicum,0.7,356.5,111.4,1.58,46.88,NA,378.2,0.23,86.41,8.9,0.28,1.85,2.13,hemicryptophytes,C3,0,1,0,0,0,0,0,0,F,0,3,7,FAC,2.2
